title,description,topic,date,link
Interpretable Neural Networks with PyTorch,Learn how to build feedforward neural networks that are interpretable by design using PyTorch.,Machine Learning," Jan 11, 2022",https://www.kdnuggets.com/2022/01/interpretable-neural-networks-pytorch.html
A Full End-to-End Deployment of a Machine Learning Algorithm into a Live Production Environment,"How to use scikit-learn, pickle, Flask, Microsoft Azure and ipywidgets to fully deploy a Python machine learning algorithm into a live, production environment.",Machine Learning," Jan 11, 2022",https://www.kdnuggets.com/2021/12/deployment-machine-learning-algorithm-live-production-environment.html
What is Transfer Learning?,"During transfer learning, the knowledge leveraged and rapid progress from a source task is used to improve the learning and development to a new target task. Read on for a deeper dive on the subject.",Machine Learning," Jan 5, 2022",https://www.kdnuggets.com/2022/01/transfer-learning.html
Why Do Machine Learning Models Die In Silence?,A critical problem for companies when integrating machine learning in their business processes is not knowing why they don't perform well after a while. The reason is called concept drift. Here's an informational guide to understanding the concept well.,Machine Learning," Jan 5, 2022",https://www.kdnuggets.com/2022/01/machine-learning-models-die-silence.html
Hands-on Reinforcement Learning Course Part 3: SARSA,"This is part 3 of my hands-on course on reinforcement learning, which takes you from zero to HERO . Today we will learn about SARSA, a powerful RL algorithm.",Machine Learning," Jan 3, 2022",https://www.kdnuggets.com/2022/01/handson-reinforcement-learning-course-part-3-sarsa.html
4 Reasons Why You Shouldn’t Use Machine Learning,It's time to learn: machine learning is not a Swiss Army knife.,Advice," Dec 29, 2021",https://www.kdnuggets.com/2021/12/4-reasons-shouldnt-machine-learning.html
How AI/ML Technology Integration Will Help Business in Achieving Goals in 2022,"AI/ML systems have a wide range of applications in a variety of industries and sectors, and this article highlights the top ways AI/ML will impact your small business in 2022.",AI," Dec 29, 2021",https://www.kdnuggets.com/2021/12/aiml-technology-integration-help-business-achieving-goals-2022.html
Versioning Machine Learning Experiments vs Tracking Them,Learn how to improve ML reproducibility by treating experiments as code.,Experimentation," Dec 27, 2021",https://www.kdnuggets.com/2021/12/versioning-machine-learning-experiments-tracking.html
Alternative Feature Selection Methods in Machine Learning,"Feature selection methodologies go beyond filter, wrapper and embedded methods. In this article, I describe 3 alternative algorithms to select predictive features based on a feature importance score.",Data Preparation," Dec 24, 2021",https://www.kdnuggets.com/2021/12/alternative-feature-selection-methods-machine-learning.html
AI and climate change have a complicated relationship,Learn about the importance of environmental AI and its carbon impact in this comprehensive review.,AI," Dec 23, 2021",https://www.kdnuggets.com/2021/12/ai-climate-change-is-complicated.html
6 Predictive Models Every Beginner Data Scientist Should Master,"Data Science models come with different flavors and techniques — luckily, most advanced models are based on a couple of fundamentals. Which models should you learn when you want to begin a career as Data Scientist? This post brings you 6 models that are widely used in the industry, either in standalone form or as a building block for other advanced techniques.",Linear Regression," Dec 23, 2021",https://www.kdnuggets.com/2021/12/6-predictive-models-every-beginner-data-scientist-master.html
Machine learning does not produce value for my business. Why?,"What is going on when machine learning can't make the jump from testing to production, and so doesn't add any business value?",Business Value," Dec 22, 2021",https://www.kdnuggets.com/2021/12/machine-learning-produce-value-business.html
Federated Learning: Collaborative Machine Learning with a Tutorial on How to Get Started,Read on to learn more about the intricacies of federated learning and what it can do for machine learning on sensitive data.,Data Federation," Dec 21, 2021",https://www.kdnuggets.com/2021/12/federated-learning-collaborative-machine-learning-tutorial-get-started.html
How to Speed Up XGBoost Model Training,"XGBoost is an open-source implementation of gradient boosting designed for speed and performance. However, even XGBoost training can sometimes be slow. This article will review the advantages and disadvantages of each approach as well as go over how to get started.",Machine Learning," Dec 20, 2021",https://www.kdnuggets.com/2021/12/speed-xgboost-model-training.html
"Cloud ML In Perspective: Surprises of 2021, Projections for 2022","Let’s take a closer look on Cloud ML market in 2021 in retrospective (with occasional drills into realities of 2020, too). Read this in-depth analysis.",2022 Predictions," Dec 16, 2021",https://www.kdnuggets.com/2021/12/cloud-ml-perspective-surprises-2021-projections-2022.html
Data Science & Analytics Industry Main Developments in 2021 and Key Trends for 2022,"We have solicited insights from experts at industry-leading companies, asking: ""What were the main AI, Data Science, Machine Learning Developments in 2021 and what key trends do you expect in 2022?"" Read their opinions here.",2022 Predictions," Dec 14, 2021",https://www.kdnuggets.com/2021/12/developments-predictions-data-science-analytics-industry.html
Feature Selection: Where Science Meets Art,From heuristic to algorithmic feature selection techniques for data science projects.,Data Preprocessing," Dec 14, 2021",https://www.kdnuggets.com/2021/12/feature-selection-science-meets-art.html
Introduction to Clustering in Python with PyCaret,"A step-by-step, beginner-friendly tutorial for unsupervised clustering tasks in Python using PyCaret.",Clustering," Dec 13, 2021",https://www.kdnuggets.com/2021/12/introduction-clustering-python-pycaret.html
"Main 2021 Developments and Key 2022 Trends in AI, Data Science, Machine Learning Technology","Our panel of leading experts reviews 2021 main developments and examines the key trends in AI, Data Science, Machine Learning, and Deep Learning Technology.",2022 Predictions," Dec 10, 2021",https://www.kdnuggets.com/2021/12/trends-ai-data-science-ml-technology.html
Deep Neural Networks Don’t Lead Us Towards AGI,"Machine learning techniques continue to evolve with increased efficiency for recognition problems. But, they still lack the critical element of intelligence, so we remain a long way from attaining AGI.",AGI," Dec 9, 2021",https://www.kdnuggets.com/2021/12/deep-neural-networks-not-toward-agi.html
Should You Become a Freelance Artificial Intelligence Engineer?,Take the first step towards your machine learning engineering career and explore the UC San Diego Extension Machine Learning Engineering Bootcamp today. Those with prior software engineering or data science experience are encouraged to apply.,AI," Dec 8, 2021",https://www.kdnuggets.com/2021/12/ucsd-become-freelance-artificial-intelligence-engineer.html
"AI, Analytics, Machine Learning, Data Science, Deep Learning Research Main Developments in 2021 and Key Trends for 2022","2021 has almost come and gone. We saw some standout advancements in AI, Analytics, Machine Learning, Data Science, Deep Learning Research this past year, and the future, starting with 2022, looks bright. As per KDnuggets tradition, our collection of experts have contributed their insights on the matter. Read on to find out more.",2022 Predictions," Dec 8, 2021",https://www.kdnuggets.com/2021/12/developments-predictions-ai-machine-learning-data-science-research.html
"KDnuggets™ News 21:n46, Dec 8: How to Get Certified as a Data Scientist; 5 Practical Data Science Projects That Will Help You Solve Real Business Problems for 2022","How to Get Certified as a Data Scientist; 5 Practical Data Science Projects That Will Help You Solve Real Business Problems for 2022; 2021: A Year Full of Amazing AI papers — A Review; What Does a Data Scientist Do?; A $9B AI Failure, Examined",AI," Dec 8, 2021",https://www.kdnuggets.com/2021/n46.html
Introduction to Binary Classification with PyCaret,PyCaret is an alternate low-code library that can be used to replace hundreds of lines of code with few lines only. See how to use it for binary classification.,Classification," Dec 7, 2021",https://www.kdnuggets.com/2021/12/introduction-binary-classification-pycaret.html
A Beginner’s Guide to End to End Machine Learning,"Learn to train, tune, deploy and monitor machine learning models.",Beginners," Dec 6, 2021",https://www.kdnuggets.com/2021/12/beginner-guide-end-end-machine-learning.html
Using PyCaret’s New Time Series Module,"PyCaret’s new time series module is now available in beta. Staying true to the simplicity of PyCaret, it is consistent with the existing API and comes with a lot of functionalities.",Machine Learning," Dec 3, 2021",https://www.kdnuggets.com/2021/12/pycaret-new-time-series-module.html
Building Massively Scalable Machine Learning Pipelines with Microsoft Synapse ML,The new platform provides a single API to abstract dozens of ML frameworks and databases.,Machine Learning," Nov 30, 2021",https://www.kdnuggets.com/2021/11/building-massively-scalable-machine-learning-pipelines-microsoft-synapse-ml.html
Common Misconceptions About Differential Privacy,This article will clarify some common misconceptions about differential privacy and what it guarantees.,Data Science," Nov 24, 2021",https://www.kdnuggets.com/2021/11/common-misconceptions-differential-privacy.html
3 Differences Between Coding in Data Science and Machine Learning,"The terms ‘data science’ and ‘machine learning’ are often used interchangeably. But while they are related, there are some glaring differences, so let’s take a look at the differences between the two disciplines, specifically as it relates to programming.",Data Science," Nov 19, 2021",https://www.kdnuggets.com/2021/11/3-differences-coding-data-science-machine-learning.html
"KDnuggets™ News 21:n44, Nov 17: Don’t Waste Time Building Your Data Science Network; 19 Data Science Project Ideas for Beginners",Don’t Waste Time Building Your Data Science Network; 19 Data Science Project Ideas for Beginners; How I Redesigned over 100 ETL into ELT Data Pipelines; Anecdotes from 11 Role Models in Machine Learning; The Ultimate Guide To Different Word Embedding Techniques In NLP,Beginners," Nov 17, 2021",https://www.kdnuggets.com/2021/n44.html
Anecdotes from 11 Role Models in Machine Learning,The skills needed to create good data are also the skills needed for good leadership.,Active Learning," Nov 12, 2021",https://www.kdnuggets.com/2021/11/anecdotes-11-role-models-machine-learning.html
Dream Come True: Building websites by thinking about them,"From the mind to the computer, make websites using your imagination!",Brain," Nov 11, 2021",https://www.kdnuggets.com/2021/11/dream-come-true-allennlp-hacks-21.html
The Common Misconceptions About Machine Learning,Beginners in the field can often have many misconceptions about machine learning that sometimes can be a make-it-or-break-it moment for the individual switching careers or starting fresh. This article clearly describes the ground truth realities about learning new ML skills and eventually working professionally as a machine learning engineer.,Beginners," Nov 9, 2021",https://www.kdnuggets.com/2021/11/common-misconception-about-machine-learning.html
Machine Learning Safety: Unsolved Problems,"There remain critical challenges in machine learning that, if left resolved, could lead to unintended consequences and unsafe use of AI in the future. As an important and active area of research, roadmaps are being developed to help guide continued ML research and use toward meaningful and robust applications.",Machine Learning," Nov 5, 2021",https://www.kdnuggets.com/2021/11/machine-learning-safety-unsolved-problems.html
AI Infinite Training & Maintaining Loop,"Productizing AI is an infrastructure orchestration problem. In planning your solution design, you should use continuous monitoring, retraining, and feedback to ensure stability and sustainability.",AI," Nov 4, 2021",https://www.kdnuggets.com/2021/11/ai-infinite-training-maintaining-loop.html
7 of The Coolest Machine Learning Topics of 2021 at ODSC West,"At our upcoming event this November 16th-18th in San Francisco, ODSC West 2021 will feature a plethora of talks, workshops, and training sessions on machine learning topics, deep learning, NLP, MLOps, and so on. You can register now for 20% off all ticket types, or register for a free AI Expo Pass to see what some big names in AI are doing now.",Machine Learning," Nov 3, 2021",https://www.kdnuggets.com/2021/11/odsc-7-coolest-machine-learning-topics.html
Visual Scoring Techniques for Classification Models,Read this article assessing a model performance in a broader context.,Classification," Nov 3, 2021",https://www.kdnuggets.com/2021/11/visual-scoring-techniques-classification-models.html
"KDnuggets™ News 21:n42, Nov 3: Google Recommendations Before Taking Their Machine Learning Course; Guide to Data Science Jobs",What Google Recommends You do Before Taking Their Machine Learning or Data Science Course; A Guide to 14 Different Data Science Jobs; Analyze Python Code in Jupyter Notebooks; Machine Learning Model Development and Model Operations: Principles and Practices; Want to Join a Bank? Everything Data Scientists Need to Know About Working in Fintech,Career Advice," Nov 3, 2021",https://www.kdnuggets.com/2021/n42.html
Design Patterns for Machine Learning Pipelines,"ML pipeline design has undergone several evolutions in the past decade with advances in memory and processor performance, storage systems, and the increasing scale of data sets. We describe how these design patterns changed, what processes they went through, and their future direction.",Data Preprocessing," Nov 2, 2021",https://www.kdnuggets.com/2021/11/design-patterns-machine-learning-pipelines.html
What Google Recommends You do Before Taking Their Machine Learning or Data Science Course,First steps to learning data science & machine learning are the foundations.,Beginners," Oct 28, 2021",https://www.kdnuggets.com/2021/10/google-recommends-before-machine-learning-data-science-course.html
Machine Learning Model Development and Model Operations: Principles and Practices,"The ML model management and the delivery of highly performing model is as important as the initial build of the model by choosing right dataset. The concepts around model retraining, model versioning, model deployment and model monitoring are the basis for machine learning operations (MLOps) that helps the data science teams deliver highly performing models.",Algorithms," Oct 27, 2021",https://www.kdnuggets.com/2021/10/machine-learning-model-development-operations-principles-practice.html
Getting Started with PyTorch Lightning,"As a library designed for production research, PyTorch Lightning streamlines hardware support and distributed training as well, and we’ll show how easy it is to move training to a GPU toward the end.",Deep Learning," Oct 26, 2021",https://www.kdnuggets.com/2021/10/getting-started-pytorch-lightning.html
Guide To Finding The Right Predictive Maintenance Machine Learning Techniques,"What happens to a life so dependent on machines, when that particular machine breaks down? This is precisely why there’s a dire need for predictive maintenance with machine learning.",Machine Learning," Oct 25, 2021",https://www.kdnuggets.com/2021/10/guide-right-predictive-maintenance-machine-learning-techniques.html
Introduction to AutoEncoder and Variational AutoEncoder (VAE),Autoencoders and their variants are interesting and powerful artificial neural networks used in unsupervised learning scenarios. Learn how autoencoders perform in their different approaches and how to implement with Keras on the instructional data set of the MNIST digits.,Autoencoder," Oct 22, 2021",https://www.kdnuggets.com/2021/10/introduction-autoencoder-variational-autoencoder-vae.html
"KDnuggets™ News 21:n40, Oct 20: The 20 Python Packages You Need For Machine Learning and Data Science; Ace Data Science Interviews with Portfolio Projects",The 20 Python Packages You Need For Machine Learning and Data Science; How to Ace Data Science Interview by Working on Portfolio Projects; Deploying Your First Machine Learning API; Real Time Image Segmentation Using 5 Lines of Code; What is Clustering and How Does it Work?,Clustering," Oct 20, 2021",https://www.kdnuggets.com/2021/n40.html
Real Time Image Segmentation Using 5 Lines of Code,"PixelLib Library is a library created to allow easy integration of object segmentation in images and videos using few lines of python code. PixelLib now provides support for PyTorch backend to perform faster, more accurate segmentation and extraction of objects in images and videos using PointRend segmentation architecture.",Computer Vision," Oct 18, 2021",https://www.kdnuggets.com/2021/10/real-time-image-segmentation-5-lines-code.html
Serving ML Models in Production: Common Patterns,"Over the past couple years, we've seen 4 common patterns of machine learning in production: pipeline, ensemble, business logic, and online learning. In the ML serving space, implementing these patterns typically involves a tradeoff between ease of development and production readiness. Ray Serve was built to support these patterns by being both easy to develop and production ready.",FastAPI," Oct 18, 2021",https://www.kdnuggets.com/2021/10/serving-ml-models-production-common-patterns.html
How to calculate confidence intervals for performance metrics in Machine Learning using an automatic bootstrap method,"Are your model performance measurements very precise due to a “large” test set, or very uncertain due to a “small” or imbalanced test set?",Machine Learning," Oct 15, 2021",https://www.kdnuggets.com/2021/10/calculate-confidence-intervals-performance-metrics-machine-learning.html
Deploying Your First Machine Learning API,Effortless way to develop and deploy your machine learning API using FastAPI and Deta.,API," Oct 14, 2021",https://www.kdnuggets.com/2021/10/deploying-first-machine-learning-api.html
The 20 Python Packages You Need For Machine Learning and Data Science,"Do you do Python? Do you do data science and machine learning? Then, you need to do these crucial Python libraries that enable nearly all you will want to do.",Data Science," Oct 14, 2021",https://www.kdnuggets.com/2021/10/20-python-packages.html
Building Multimodal Models: Using the widedeep Pytorch package,This article gets you started on the open-source widedeep PyTorch framework developed by Javier Rodriguez Zaurin.,Machine Learning," Oct 13, 2021",https://www.kdnuggets.com/2021/10/building-multimodal-models-widedeep-pytorch-package.html
Dealing with Data Leakage,Target leakage and data leakage represent challenging problems in machine learning. Be prepared to recognize and avoid these potentially messy problems.,Cross-validation," Oct 8, 2021",https://www.kdnuggets.com/2021/10/dealing-data-leakage.html
Building and Operationalizing Machine Learning Models: Three tips for success,"With more enterprises implementing machine learning to improve revenue and operations, properly operationalizing the ML lifecycle in a holistic way is crucial for data teams to make their projects efficient and effective.",Deployment," Oct 7, 2021",https://www.kdnuggets.com/2021/10/building-operationalizing-machine-learning-models.html
"KDnuggets™ News 21:n37, Sep 29: Nine Tools I Wish I Mastered Before My PhD in Machine Learning; Path to Full Stack Data Science","Whether you have a PhD or not, learn these very useful 9 tools to increase your mastery of Machine Learning; Check this detailed path to becoming a full stack Data Scientist; Then do one of these 20 Machine Learning Projects that will help you get a job; See a Breakdown of Deep Learning Frameworks; and more.",Data Science Tools," Sep 29, 2021",https://www.kdnuggets.com/2021/n37.html
Data Analysis Using Scala,"It is very important to choose the right tool for data analysis. On the Kaggle forums, where international Data Science competitions are held, people often ask which tool is better. R and Python are at the top of the list. In this article we will tell you about an alternative stack of data analysis technologies, based on Scala.",Data Science," Sep 24, 2021",https://www.kdnuggets.com/2021/09/data-analysis-scala.html
20 Machine Learning Projects That Will Get You Hired,"If you want to break into the machine learning and data science job market, then you will need to demonstrate the proficiency of your skills, especially if you are self-taught through online courses and bootcamps. A project portfolio is a great way to practice your new craft and offer convincing evidence that an employee should hire you over the competition.",Career," Sep 22, 2021",https://www.kdnuggets.com/2021/09/20-machine-learning-projects-hired.html
Nine Tools I Wish I Mastered Before My PhD in Machine Learning,Whether you are building a start up or making scientific breakthroughs these tools will bring your ML pipeline to the next level.,AI," Sep 22, 2021",https://www.kdnuggets.com/2021/09/nine-tools-mastered-before-phd-machine-learning.html
"KDnuggets™ News 21:n36, Sep 22: The Machine & Deep Learning Compendium Open Book; Easy SQL in Native Python",The Machine & Deep Learning Compendium Open Book; Easy SQL in Native Python; Introduction to Automated Machine Learning; How to be a Data Scientist without a STEM degree; What Is The Real Difference Between Data Engineers and Data Scientists?,Automated Machine Learning," Sep 22, 2021",https://www.kdnuggets.com/2021/n36.html
How to Find Weaknesses in your Machine Learning Models,FreaAI: a new method from researchers at IBM.,Interpretability," Sep 20, 2021",https://www.kdnuggets.com/2021/09/weaknesses-machine-learning-models.html
"Adventures in MLOps with Github Actions, Iterative.ai, Label Studio and NBDEV",This article documents the authors' experience building their custom MLOps approach.,GitHub," Sep 16, 2021",https://www.kdnuggets.com/2021/09/adventures-mlops-github-actions-iterative-ai-label-studio-and-nbdev.html
The Machine & Deep Learning Compendium Open Book,"After years in the making, this extensive and comprehensive ebook resource is now available and open for data scientists and ML engineers. Learn from and contribute to this tome of valuable information to support all your work in data science from engineering to strategy to management.",Deep Learning," Sep 16, 2021",https://www.kdnuggets.com/2021/09/machine-deep-learning-open-book.html
Introduction to Automated Machine Learning,"AutoML enables developers with limited ML expertise (and coding experience) to train high-quality models specific to their business needs. For this article, we will focus on AutoML systems which cater to everyday business and technology applications.",Automated Machine Learning," Sep 15, 2021",https://www.kdnuggets.com/2021/09/introduction-automated-machine-learning.html
Top 18 Low-Code and No-Code Machine Learning Platforms,"Machine learning becomes more accessible to companies and individuals when there is less coding involved. Especially if you are just starting your path in ML, then check out these low-code and no-code platforms to help expedite your capabilities in learning and applying AI.",AutoML," Sep 8, 2021",https://www.kdnuggets.com/2021/09/top-18-low-code-no-code-machine-learning-platforms.html
Math 2.0: The Fundamental Importance of Machine Learning,Machine learning is not just another way to program computers; it represents a fundamental shift in the way we understand the world. It is Math 2.0.,AI," Sep 8, 2021",https://www.kdnuggets.com/2021/09/math-fundamental-importance-machine-learning.html
"KDnuggets™ News 21:n34, Sep 8: Do You Read Excel Files with Python? There is a 1000x Faster Way; Hypothesis Testing Explained",Do You Read Excel Files with Python? There is a 1000x Faster Way; Hypothesis Testing Explained; Data Science Cheat Sheet 2.0; 6 Cool Python Libraries That I Came Across Recently; Best Resources to Learn Natural Language Processing in 2021,AI," Sep 8, 2021",https://www.kdnuggets.com/2021/n34.html
How Machine Learning Leverages Linear Algebra to Solve Data Problems,Why you should learn the fundamentals of linear algebra.,Data Science," Sep 7, 2021",https://www.kdnuggets.com/2021/09/machine-learning-leverages-linear-algebra-solve-data-problems.html
Fast AutoML with FLAML + Ray Tune,Microsoft Researchers have developed FLAML (Fast Lightweight AutoML) which can now utilize Ray Tune for distributed hyperparameter tuning to scale up FLAML’s resource-efficient & easily parallelizable algorithms across a cluster.,Automated Machine Learning," Sep 6, 2021",https://www.kdnuggets.com/2021/09/fast-automl-flaml-ray-tune.html
Antifragility and Machine Learning,"Our intuition for most products, processes, and even some models might be that they either will get worse over time, or if they fail, they will experience an cascade of more failure. But, what if we could intentionally design systems and models to only get better, even as the world around them gets worse?",Machine Learning," Sep 6, 2021",https://www.kdnuggets.com/2021/09/antifragility-machine-learning.html
6 Cool Python Libraries That I Came Across Recently,Check out these awesome Python libraries for Machine Learning.,Data Science," Sep 3, 2021",https://www.kdnuggets.com/2021/09/6-cool-python-libraries-recently.html
How to solve machine learning problems in the real world,"Becoming a machine learning engineer pro is your goal? Sure, online ML courses and Kaggle-style competitions are great resources to learn the basics. However, the daily job of a ML engineer requires an additional layer of skills that you won’t master through these approaches.",Advice," Sep 2, 2021",https://www.kdnuggets.com/2021/09/solve-machine-learning-problems-real-world.html
How is Machine Learning Beneficial in Mobile App Development?,"Mobile app developers have a lot to gain by implementing AI & Machine Learning from the revolutionary changes that these disruptive technologies can offer. This is due to AI and ML's potential to strengthen mobile applications, providing for smoother user experiences capable of leveraging powerful features.",App," Sep 1, 2021",https://www.kdnuggets.com/2021/09/machine-learning-beneficial-mobile-app-development.html
The Significance of Data-centric AI,How a systematic way of maintaining data quality can do wonders to your model performance.,AI," Aug 27, 2021",https://www.kdnuggets.com/2021/08/significance-data-centric-ai.html
Automated Data Labeling with Machine Learning,Labeling training data is the one step in the data pipeline that has resisted automation. It’s time to change that.,Data Labeling," Aug 26, 2021",https://www.kdnuggets.com/2021/08/watchful-automated-data-labeling-machine-learning.html
Learning Data Science and Machine Learning: First Steps After The Roadmap,"Just getting into learning data science may seem as daunting as (if not more than) trying to land your first job in the field. With so many options and resources online and in traditional academia to consider, these pre-requisites and pre-work are recommended before diving deep into data science and AI/ML.",Data Science," Aug 24, 2021",https://www.kdnuggets.com/2021/08/learn-data-science-machine-learning.html
Enhancing Machine Learning Personalization through Variety,"Personalization drives growth and is a touchstone of good customer experience. Personalization driven through machine learning can enable companies to improve this experience while improving ROI for marketing campaigns. However, challenges exist in these techniques for when personalization makes sense and how and when specific options are recommended.",Machine Learning," Aug 19, 2021",https://www.kdnuggets.com/2021/08/machine-learning-personalization-variety.html
Model Drift in Machine Learning – How To Handle It In Big Data,"Rendezvous Architecture helps you run and choose outputs from a Champion model and many Challenger models running in parallel without many overheads. The original approach works well for smaller data sets, so how can this idea adapt to big data pipelines?",Big Data," Aug 17, 2021",https://www.kdnuggets.com/2021/08/model-drift-machine-learning-big-data.html
Agile Data Labeling: What it is and why you need it,The notion of Agile in software development has made waves across industries with its revolution for productivity. Can the same benefits be applied to the often arduous task of annotating data sets for machine learning?,Agile," Aug 16, 2021",https://www.kdnuggets.com/2021/08/agile-data-labeling.html
Introduction to Statistical Learning Second Edition,"The second edition of the classic ""An Introduction to Statistical Learning, with Applications in R"" was published very recently, and is now freely-available via PDF on the book's website.",Books," Aug 13, 2021",https://www.kdnuggets.com/2021/08/introduction-statistical-learning-v2.html
MLOps And Machine Learning Roadmap,A 16–20 week roadmap to review machine learning and learn MLOps.,Courses," Aug 12, 2021",https://www.kdnuggets.com/2021/08/mlops-machine-learning-roadmap.html
How to Detect and Overcome Model Drift in MLOps,"This article has a look at model drift, and how to detect and overcome it in production MLOps.",Machine Learning," Aug 12, 2021",https://www.kdnuggets.com/2021/08/detect-overcome-model-drift-mlops.html
2021 State of Production Machine Learning Survey,We invite you to take the 2021 State of Production Machine Learning survey and help shed light on the latest trends in the adoption of machine learning (ML) in the industry.,Anyscale," Aug 11, 2021",https://www.kdnuggets.com/2021/08/anyscale-2021-state-production-machine-learning-survey.html
Visualizing Bias-Variance,"In this article, we'll explore some different perspectives of what the bias-variance trade-off really means with the help of visualizations.",Bias," Aug 10, 2021",https://www.kdnuggets.com/2021/08/visualizing-bias-variance.html
Artificial Intelligence vs Machine Learning in Cybersecurity,"Artificial Intelligence and Machine Learning are the next-gen technology used in various fields. With the rise in online threats, it has become essential to include these technologies in cybersecurity. In this post, we will know what roles do AI and ML play in cybersecurity.",AI," Aug 5, 2021",https://www.kdnuggets.com/2021/08/artificial-intelligence-machine-learning-cybersecurity.html
Mastering Clustering with a Segmentation Problem,The one stop shop for implementing the most widely used models in Python for unsupervised clustering.,Clustering," Aug 3, 2021",https://www.kdnuggets.com/2021/08/mastering-clustering-segmentation-problem.html
30 Most Asked Machine Learning Questions Answered,"There is always a lot to learn in machine learning. Whether you are new to the field or a seasoned practitioner and ready for a refresher, understanding these key concepts will keep your skills honed in the right direction.",Beginners," Aug 3, 2021",https://www.kdnuggets.com/2021/08/30-machine-learning-questions-answered.html
